Input First                 Input Second                MergeTime[s]                SuccesiveAddTime[s]         
henryviii.txt               henryv.txt                  0.00075                     0.00231                     
henryviii.txt               merry_wives.txt             0.00063                     0.00159                     
henryviii.txt               midsummer.txt               0.00060                     0.00146                     
two_gentlemen.txt           3henryvi.txt                0.00060                     0.00179                     
two_gentlemen.txt           twelfth_night.txt           0.00054                     0.00148                     
two_gentlemen.txt           romeo_juliet.txt            0.00059                     0.00196                     
two_gentlemen.txt           lear.txt                    0.00054                     0.00191                     
two_gentlemen.txt           hamlet.txt                  0.00059                     0.00227                     
two_gentlemen.txt           measure.txt                 0.00048                     0.00153                     
two_gentlemen.txt           asyoulikeit.txt             0.00048                     0.00152                     
two_gentlemen.txt           troilus_cressida.txt        0.00056                     0.00210                     
two_gentlemen.txt           taming_shrew.txt            0.00046                     0.00148                     
two_gentlemen.txt           coriolanus.txt              0.00054                     0.00190                     
two_gentlemen.txt           henryviii.txt               0.00053                     0.00172                     
two_gentlemen.txt           cleopatra.txt               0.00052                     0.00183                     
two_gentlemen.txt           pericles.txt                0.00048                     0.00145                     
two_gentlemen.txt           richardiii.txt              0.00056                     0.00191                     
two_gentlemen.txt           timon.txt                   0.00046                     0.00149                     
two_gentlemen.txt           lll.txt                     0.00051                     0.00177                     
two_gentlemen.txt           comedy_errors.txt           0.00038                     0.00116                     
two_gentlemen.txt           richardii.txt               0.00054                     0.00177                     
two_gentlemen.txt           julius_caesar.txt           0.00050                     0.00150                     
two_gentlemen.txt           allswell.txt                0.00055                     0.00194                     
two_gentlemen.txt           winters_tale.txt            0.00060                     0.00198                     
two_gentlemen.txt           1henryvi.txt                0.00056                     0.00185                     
two_gentlemen.txt           tempest.txt                 0.00045                     0.00150                     
two_gentlemen.txt           cymbeline.txt               0.00058                     0.00200                     
two_gentlemen.txt           othello.txt                 0.00053                     0.00176                     
two_gentlemen.txt           titus.txt                   0.00046                     0.00159                     
two_gentlemen.txt           much_ado.txt                0.00040                     0.00132                     
two_gentlemen.txt           1henryiv.txt                0.00051                     0.00178                     
two_gentlemen.txt           merchant.txt                0.00048                     0.00148                     
two_gentlemen.txt           macbeth.txt                 0.00046                     0.00153                     
two_gentlemen.txt           john.txt                    0.00051                     0.00164                     
two_gentlemen.txt           2henryvi.txt                0.00054                     0.00190                     
two_gentlemen.txt           2henryiv.txt                0.00058                     0.00202                     
two_gentlemen.txt           henryv.txt                  0.00058                     0.00220                     
two_gentlemen.txt           merry_wives.txt             0.00049                     0.00153                     
two_gentlemen.txt           midsummer.txt               0.00046                     0.00138                     
cleopatra.txt               3henryvi.txt                0.00084                     0.00206                     
cleopatra.txt               twelfth_night.txt           0.00070                     0.00164                     
cleopatra.txt               romeo_juliet.txt            0.00072                     0.00194                     
cleopatra.txt               lear.txt                    0.00078                     0.00222                     
cleopatra.txt               hamlet.txt                  0.00086                     0.00258                     
cleopatra.txt               measure.txt                 0.00076                     0.00189                     
cleopatra.txt               asyoulikeit.txt             0.00065                     0.00166                     
cleopatra.txt               troilus_cressida.txt        0.00079                     0.00231                     
cleopatra.txt               taming_shrew.txt            0.00107                     0.00247                     
cleopatra.txt               coriolanus.txt              0.00079                     0.00227                     
cleopatra.txt               henryviii.txt               0.00071                     0.00193                     
cleopatra.txt               two_gentlemen.txt           0.00052                     0.00136                     
cleopatra.txt               pericles.txt                0.00061                     0.00155                     
